Sample,ROI,Depolarization_Start_Time_s,Peak_Time_s,Amplitude,APD50_s,APD90_s,APD50_90_Ratio,Upstroke_Time_s,Repolarization_Time_s,Repolarization_Level
CRISPH222P_PreISO011,#4 (Mono - Tx Red),4.483,4.594,0.008730072518447572,0.22100000000000009,0.3210000000000006,0.6884735202492202,0.11100000000000065,4.804,0.0019133076276960455
CRISPH222P_PreISO011,#4 (Mono - Tx Red),4.944,5.054,0.00898907023386846,0.2599999999999998,0.33000000000000007,0.7878787878787871,0.11000000000000032,5.274,0.0020951503786676125
CRISPH222P_PreISO011,#4 (Mono - Tx Red),5.374,5.554,0.008495559139450229,0.28000000000000025,0.3600000000000003,0.7777777777777778,0.1800000000000006,5.734,0.0019278499878584978
CRISPH222P_PreISO011,#4 (Mono - Tx Red),5.854,5.975,0.008784473171184429,0.2709999999999999,0.351,0.7720797720797719,0.12099999999999955,6.205,0.002024682655813597
CRISPH222P_PreISO011,#4 (Mono - Tx Red),6.315,6.435,0.008290164168629233,0.2599999999999998,0.33999999999999986,0.7647058823529409,0.11999999999999922,6.655,0.0019951006817142073
CRISPH222P_PreISO011,#4 (Mono - Tx Red),6.705,6.875,0.008392728014084626,0.2999999999999998,0.3799999999999999,0.7894736842105261,0.16999999999999993,7.085,0.0020661383248175196
CRISPH222P_PreISO011,#4 (Mono - Tx Red),7.216,7.316,0.009530427015789197,0.2400000000000002,0.33000000000000007,0.7272727272727277,0.09999999999999964,7.546,0.0018640457655753973
CRISPH222P_PreISO011,#4 (Mono - Tx Red),7.696,7.786,0.009486613951208794,0.25,0.3200000000000003,0.7812499999999993,0.08999999999999986,8.016,0.0017819679309873933
CRISPH222P_PreISO011,#4 (Mono - Tx Red),8.146,8.246,0.008897687209526816,0.23999999999999844,0.4009999999999998,0.5985037406483754,0.09999999999999964,8.547,0.0018269110875313859
CRISPH222P_PreISO011,#4 (Mono - Tx Red),8.697,8.757,0.008445377118545433,0.19000000000000128,0.25,0.7600000000000051,0.0600000000000005,8.947,0.002062451817938329
CRISPH222P_PreISO011,#4 (Mono - Tx Red),9.047,9.187,0.008971980880178821,0.2599999999999998,0.34999999999999964,0.742857142857143,0.1399999999999988,9.397,0.0013714664816281853
CRISPH222P_PreISO011,#4 (Mono - Tx Red),9.517,9.667,0.009428107668513194,0.29100000000000037,0.391,0.7442455242966761,0.15000000000000036,9.908,0.0020563278372694458
CRISPH222P_PreISO011,#5 (Mono - Tx Red),0.3,0.44,0.00942659422122414,0.27999999999999997,0.36100000000000004,0.7756232686980608,0.14,0.661,0.002218311133817691
CRISPH222P_PreISO011,#5 (Mono - Tx Red),0.781,0.901,0.009286477876984209,0.22999999999999987,0.2899999999999999,0.7931034482758619,0.12,1.071,0.0018831285140778458
CRISPH222P_PreISO011,#5 (Mono - Tx Red),1.221,1.331,0.009789373622477525,0.27,0.41999999999999993,0.642857142857143,0.10999999999999988,1.641,0.001555722638244315
CRISPH222P_PreISO011,#5 (Mono - Tx Red),1.691,1.821,0.009267142341999855,0.21999999999999997,0.35099999999999976,0.6267806267806272,0.1299999999999999,2.042,0.0015648608488423275
CRISPH222P_PreISO011,#5 (Mono - Tx Red),2.132,2.282,0.00983852299279228,0.2799999999999998,0.3799999999999999,0.7368421052631576,0.1499999999999999,2.512,0.001757039298979413
CRISPH222P_PreISO011,#5 (Mono - Tx Red),2.632,2.742,0.009665487895799683,0.23999999999999977,0.31000000000000005,0.7741935483870959,0.10999999999999988,2.942,0.001868785708392124
CRISPH222P_PreISO011,#5 (Mono - Tx Red),3.052,3.192,0.00982169277779461,0.30100000000000016,0.371,0.8113207547169815,0.14000000000000012,3.423,0.0017293737614198447
CRISPH222P_PreISO011,#5 (Mono - Tx Red),3.513,3.673,0.011351354565177333,0.29000000000000004,0.3900000000000001,0.7435897435897434,0.16000000000000014,3.903,0.0017558546599301095
CRISPH222P_PreISO011,#5 (Mono - Tx Red),4.003,4.143,0.009763939529515677,0.2599999999999998,0.33000000000000007,0.7878787878787871,0.13999999999999968,4.333,0.001957440368072728
CRISPH222P_PreISO011,#5 (Mono - Tx Red),4.463,4.574,0.010526185780741215,0.23099999999999987,0.43100000000000005,0.5359628770301621,0.11099999999999977,4.894,0.0016494349756614119
CRISPH222P_PreISO011,#5 (Mono - Tx Red),4.914,5.054,0.01047491861609704,0.29000000000000004,0.3700000000000001,0.7837837837837837,0.14000000000000057,5.284,0.0016056599867166918
CRISPH222P_PreISO011,#5 (Mono - Tx Red),5.404,5.504,0.010019939319916987,0.2400000000000002,0.34999999999999964,0.685714285714287,0.09999999999999964,5.754,0.0018886076756169587
CRISPH222P_PreISO011,#5 (Mono - Tx Red),5.874,5.985,0.009370608778470655,0.24100000000000055,0.3210000000000006,0.7507788161993773,0.11100000000000065,6.195,0.001768396057737165
CRISPH222P_PreISO011,#5 (Mono - Tx Red),6.295,6.445,0.009503906032702616,0.25,0.34999999999999964,0.714285714285715,0.15000000000000036,6.645,0.0017845602553215175
CRISPH222P_PreISO011,#5 (Mono - Tx Red),8.136,8.246,0.009783675639441913,0.25,0.3500000000000014,0.7142857142857114,0.11000000000000121,8.486,0.0017749236028655364
CRISPH222P_PreISO011,#5 (Mono - Tx Red),9.537,9.627,0.009974274933637376,0.270999999999999,0.3609999999999989,0.7506925207756229,0.08999999999999986,9.898,0.0014187489479585281
CRISPH222P_PreISO011,#6 (Mono - Tx Red),0.31,0.42,0.009119001333565852,0.27999999999999997,0.38099999999999995,0.7349081364829396,0.10999999999999999,0.691,0.001734549292438187
CRISPH222P_PreISO011,#6 (Mono - Tx Red),0.781,0.921,0.008457446424816335,0.23999999999999988,0.30999999999999994,0.7741935483870965,0.14,1.091,0.0019805137697174995
CRISPH222P_PreISO011,#6 (Mono - Tx Red),1.211,1.341,0.010189648968485981,0.28,0.4099999999999999,0.6829268292682928,0.1299999999999999,1.621,0.0014626521898780168
CRISPH222P_PreISO011,#6 (Mono - Tx Red),1.691,1.801,0.009711279460813856,0.23099999999999987,0.33099999999999974,0.6978851963746225,0.10999999999999988,2.022,0.001471816316383109
CRISPH222P_PreISO011,#6 (Mono - Tx Red),2.132,2.272,0.010488487559005175,0.2799999999999998,0.4099999999999997,0.6829268292682927,0.13999999999999968,2.542,0.0016573332719337672
CRISPH222P_PreISO011,#6 (Mono - Tx Red),2.632,2.732,0.009952312418709832,0.23999999999999977,0.4299999999999997,0.5581395348837208,0.10000000000000009,3.062,0.0017227901220880511
CRISPH222P_PreISO011,#6 (Mono - Tx Red),3.092,3.202,0.009538004949926857,0.2610000000000001,0.31099999999999994,0.8392282958199362,0.10999999999999988,3.403,0.002346033970111154
CRISPH222P_PreISO011,#6 (Mono - Tx Red),3.563,3.673,0.01029873883014627,0.22999999999999998,0.36999999999999966,0.6216216216216222,0.10999999999999988,3.933,0.0016747024592427672
CRISPH222P_PreISO011,#6 (Mono - Tx Red),3.993,4.103,0.009756079602639592,0.2799999999999998,0.37000000000000055,0.7567567567567551,0.10999999999999988,4.363,0.0017858444196418761
CRISPH222P_PreISO011,#6 (Mono - Tx Red),4.393,4.594,0.009408820648141131,0.31099999999999994,0.4510000000000005,0.689578713968957,0.2010000000000005,4.844,0.0019622031906258966
CRISPH222P_PreISO011,#6 (Mono - Tx Red),4.924,5.024,0.009205221646243596,0.2699999999999996,0.3299999999999992,0.8181818181818189,0.09999999999999964,5.254,0.002503416634138787
CRISPH222P_PreISO011,#6 (Mono - Tx Red),5.404,5.514,0.009968790326041784,0.2400000000000002,0.3700000000000001,0.648648648648649,0.11000000000000032,5.774,0.0018709741155041439
CRISPH222P_PreISO011,#6 (Mono - Tx Red),5.854,5.985,0.009557610159838829,0.2809999999999997,0.4009999999999998,0.70074812967581,0.13100000000000023,6.255,0.0010074796876627832
CRISPH222P_PreISO011,#6 (Mono - Tx Red),6.295,6.435,0.00942208564843626,0.2599999999999998,0.40000000000000036,0.6499999999999989,0.13999999999999968,6.695,0.0015404243861792586
CRISPH222P_PreISO011,#6 (Mono - Tx Red),6.695,6.875,0.008537601151226565,0.29000000000000004,0.4299999999999997,0.6744186046511633,0.17999999999999972,7.125,0.0017255341574721871
CRISPH222P_PreISO011,#6 (Mono - Tx Red),7.216,7.326,0.009918226350711283,0.2400000000000002,0.39999999999999947,0.6000000000000013,0.10999999999999943,7.616,0.0017342696163857416
CRISPH222P_PreISO011,#6 (Mono - Tx Red),7.686,7.786,0.009149459677230739,0.25,0.2999999999999998,0.8333333333333338,0.09999999999999964,7.986,0.0019190592937716666
CRISPH222P_PreISO011,#6 (Mono - Tx Red),8.126,8.236,0.009798187406857669,0.2400000000000002,0.43100000000000094,0.5568445475638044,0.11000000000000121,8.557,0.0016093234802334975
CRISPH222P_PreISO011,#6 (Mono - Tx Red),8.597,8.737,0.009215111695445154,0.28000000000000114,0.33000000000000007,0.8484848484848517,0.14000000000000057,8.927,0.0021881608943558873
CRISPH222P_PreISO011,#6 (Mono - Tx Red),9.047,9.177,0.009631603331547643,0.25,0.33000000000000007,0.7575757575757575,0.129999999999999,9.377,0.002109891632292877
CRISPH222P_PreISO011,#6 (Mono - Tx Red),9.497,9.637,0.009822662343356502,0.3000000000000007,0.391,0.7672634271099762,0.14000000000000057,9.888,0.0023442430741093534
CRISPH222P_PreISO011,#7 (Mono - Tx Red),0.33,0.48,0.00755330798671357,0.25999999999999995,0.291,0.8934707903780068,0.14999999999999997,0.621,0.004833245517096593
CRISPH222P_PreISO011,#7 (Mono - Tx Red),0.801,0.941,0.007491035282813247,0.20999999999999985,0.2799999999999999,0.7499999999999997,0.1399999999999999,1.081,0.003946738150400713
CRISPH222P_PreISO011,#7 (Mono - Tx Red),2.112,2.252,0.007677420328756505,0.31000000000000005,0.3599999999999999,0.8611111111111116,0.13999999999999968,2.472,0.003030172139158244
CRISPH222P_PreISO011,#7 (Mono - Tx Red),2.642,2.742,0.008459929406781906,0.2400000000000002,0.3200000000000003,0.75,0.10000000000000009,2.962,0.003108312812693528
CRISPH222P_PreISO011,#7 (Mono - Tx Red),3.082,3.202,0.007563240655621783,0.28100000000000014,0.351,0.800569800569801,0.1200000000000001,3.433,0.002898100412380684
CRISPH222P_PreISO011,#7 (Mono - Tx Red),3.573,3.683,0.008565878808204575,0.22999999999999998,0.3500000000000001,0.6571428571428569,0.10999999999999988,3.923,0.002869668218840698
CRISPH222P_PreISO011,#7 (Mono - Tx Red),4.023,4.113,0.007251293164818811,0.25,0.3200000000000003,0.7812499999999993,0.09000000000000075,4.343,0.0028203329482102764
CRISPH222P_PreISO011,#7 (Mono - Tx Red),4.433,4.584,0.008047183385640026,0.2709999999999999,0.36099999999999977,0.7506925207756235,0.1509999999999998,4.794,0.002887272036752192
CRISPH222P_PreISO011,#7 (Mono - Tx Red),5.414,5.524,0.008187208830218977,0.2400000000000002,0.29000000000000004,0.8275862068965524,0.11000000000000032,5.704,0.00235071981361762
CRISPH222P_PreISO011,#7 (Mono - Tx Red),5.854,5.965,0.008025244152947265,0.2709999999999999,0.37099999999999955,0.7304582210242594,0.11099999999999977,6.225,0.0022229414402596833
CRISPH222P_PreISO011,#7 (Mono - Tx Red),6.325,6.435,0.007777457085466979,0.22999999999999954,0.33000000000000007,0.6969696969696955,0.10999999999999943,6.655,0.002088552459892654
CRISPH222P_PreISO011,#7 (Mono - Tx Red),7.206,7.336,0.008030357643726069,0.23999999999999932,0.3099999999999996,0.7741935483870955,0.1299999999999999,7.516,0.0018630627545173032
CRISPH222P_PreISO011,#7 (Mono - Tx Red),8.617,8.747,0.008117184220857407,0.25,0.3099999999999987,0.8064516129032291,0.129999999999999,8.927,0.0018029555361533595
CRISPH222P_PreISO011,#7 (Mono - Tx Red),9.047,9.187,0.007626605310554121,0.2599999999999998,0.41000000000000014,0.6341463414634139,0.1399999999999988,9.457,0.001229880485845514
CRISPH222P_PreISO011,#8 (Mono - Tx Red),0.32,0.45,0.009324817932654654,0.27999999999999997,0.38099999999999995,0.7349081364829396,0.13,0.701,0.0019615435419877932
CRISPH222P_PreISO011,#8 (Mono - Tx Red),0.781,0.911,0.008596060564989119,0.23999999999999988,0.2899999999999999,0.8275862068965515,0.13,1.071,0.0024608860207515158
CRISPH222P_PreISO011,#8 (Mono - Tx Red),1.241,1.371,0.009236261432759763,0.2699999999999998,0.34999999999999987,0.7714285714285711,0.1299999999999999,1.591,0.0022659794752488034
CRISPH222P_PreISO011,#8 (Mono - Tx Red),1.691,1.781,0.008933263251964738,0.21999999999999997,0.2709999999999999,0.811808118081181,0.08999999999999986,1.962,0.0023637739471344885
CRISPH222P_PreISO011,#8 (Mono - Tx Red),2.122,2.282,0.009494984996047439,0.30000000000000027,0.3700000000000001,0.8108108108108113,0.16000000000000014,2.492,0.002043208135491616
CRISPH222P_PreISO011,#8 (Mono - Tx Red),2.612,2.732,0.009509715736092004,0.2799999999999998,0.3799999999999999,0.7368421052631576,0.1200000000000001,2.992,0.0017304422809678033
CRISPH222P_PreISO011,#8 (Mono - Tx Red),3.092,3.202,0.009111675622293064,0.2709999999999999,0.391,0.69309462915601,0.10999999999999988,3.483,0.002232474981066386
CRISPH222P_PreISO011,#8 (Mono - Tx Red),3.563,3.673,0.010049779679862427,0.22999999999999998,0.31000000000000005,0.7419354838709675,0.10999999999999988,3.873,0.0024351029672084407
CRISPH222P_PreISO011,#8 (Mono - Tx Red),3.973,4.123,0.009063865224263064,0.3100000000000005,0.3700000000000001,0.8378378378378389,0.15000000000000036,4.343,0.0025018938634520788
CRISPH222P_PreISO011,#8 (Mono - Tx Red),4.453,4.594,0.00885837722051052,0.25099999999999945,0.3409999999999993,0.7360703812316715,0.14100000000000001,4.794,0.0022213762584991194
CRISPH222P_PreISO011,#8 (Mono - Tx Red),4.924,5.054,0.00942951411782774,0.27999999999999936,0.33999999999999986,0.8235294117647044,0.1299999999999999,5.264,0.0025438004793264064
CRISPH222P_PreISO011,#8 (Mono - Tx Red),5.414,5.514,0.008252006932104834,0.25,0.3600000000000003,0.6944444444444439,0.10000000000000053,5.774,0.002387105949952263
CRISPH222P_PreISO011,#8 (Mono - Tx Red),5.885,5.985,0.00956035835050521,0.2400000000000002,0.33999999999999986,0.7058823529411774,0.10000000000000053,6.225,0.0020670662195351056
CRISPH222P_PreISO011,#8 (Mono - Tx Red),6.325,6.415,0.008405366386087118,0.2400000000000002,0.3799999999999999,0.6315789473684218,0.08999999999999986,6.705,0.0020720924071535854
CRISPH222P_PreISO011,#8 (Mono - Tx Red),6.735,6.895,0.008832674779021443,0.2599999999999998,0.33000000000000007,0.7878787878787871,0.15999999999999925,7.065,0.002125716060263041
CRISPH222P_PreISO011,#8 (Mono - Tx Red),7.206,7.316,0.00934737002579307,0.25,0.3899999999999997,0.6410256410256415,0.10999999999999943,7.596,0.0020834049310231757
CRISPH222P_PreISO011,#8 (Mono - Tx Red),8.146,8.246,0.009221777775922167,0.22999999999999865,0.29999999999999893,0.7666666666666649,0.09999999999999964,8.446,0.0023883550159100953
CRISPH222P_PreISO011,#8 (Mono - Tx Red),9.537,9.667,0.009988257722153192,0.270999999999999,0.3409999999999993,0.7947214076246322,0.129999999999999,9.878,0.0023447203892539943
CRISPH222P_PreISO011,#9 (Mono - Tx Red),0.32,0.44,0.007229004943676963,0.25999999999999995,0.33,0.7878787878787877,0.12,0.65,0.0019962524031986112
CRISPH222P_PreISO011,#9 (Mono - Tx Red),0.761,0.901,0.007782205322450456,0.2499999999999999,0.38,0.657894736842105,0.14,1.141,0.0019813795665696026
CRISPH222P_PreISO011,#9 (Mono - Tx Red),2.102,2.272,0.007837626586080566,0.31000000000000005,0.41999999999999993,0.7380952380952384,0.16999999999999993,2.522,0.0019262239647580405
CRISPH222P_PreISO011,#9 (Mono - Tx Red),2.622,2.732,0.007561867282051756,0.25,0.3500000000000001,0.7142857142857141,0.11000000000000032,2.972,0.0019136042379258708
CRISPH222P_PreISO011,#9 (Mono - Tx Red),3.072,3.192,0.007358049608990176,0.28100000000000014,0.351,0.800569800569801,0.1200000000000001,3.423,0.0021811129335085966
CRISPH222P_PreISO011,#9 (Mono - Tx Red),3.523,3.673,0.008569066901240586,0.2599999999999998,0.3999999999999999,0.6499999999999996,0.1499999999999999,3.923,0.0021557999180246037
CRISPH222P_PreISO011,#9 (Mono - Tx Red),3.983,4.113,0.007230399551874945,0.2799999999999998,0.3599999999999999,0.7777777777777775,0.13000000000000034,4.343,0.00176919160891579
CRISPH222P_PreISO011,#9 (Mono - Tx Red),4.443,4.584,0.007680072028094755,0.25100000000000033,0.3810000000000002,0.6587926509186357,0.14100000000000001,4.824,0.001674008884500843
CRISPH222P_PreISO011,#9 (Mono - Tx Red),4.904,5.034,0.007979229719536256,0.28000000000000025,0.41000000000000014,0.6829268292682931,0.1299999999999999,5.314,0.001895415631958708
CRISPH222P_PreISO011,#9 (Mono - Tx Red),5.354,5.534,0.007915691894965611,0.28000000000000025,0.4500000000000002,0.6222222222222226,0.17999999999999972,5.804,0.0018442442233348219
CRISPH222P_PreISO011,#9 (Mono - Tx Red),5.865,5.975,0.006940004004720236,0.25,0.33999999999999986,0.7352941176470591,0.10999999999999943,6.205,0.0022068757813405024
CRISPH222P_PreISO011,#9 (Mono - Tx Red),6.295,6.415,0.0075809462045392725,0.25,0.33999999999999986,0.7352941176470591,0.1200000000000001,6.635,0.002041556819115611
CRISPH222P_PreISO011,#9 (Mono - Tx Red),7.155,7.296,0.007227947011835456,0.2909999999999995,0.4009999999999998,0.7256857855361587,0.14100000000000001,7.556,0.001881932819069609
CRISPH222P_PreISO011,#9 (Mono - Tx Red),7.686,7.786,0.007711929018528782,0.25,0.3699999999999992,0.6756756756756771,0.09999999999999964,8.056,0.001700849213642468
CRISPH222P_PreISO011,#9 (Mono - Tx Red),9.067,9.177,0.006546831316812477,0.23000000000000043,0.3100000000000005,0.741935483870968,0.10999999999999943,9.377,0.0022046263395916763
CRISPH222P_PreISO011,#10 (Mono - Tx Red),0.32,0.44,0.008382484933211545,0.25999999999999995,0.37099999999999994,0.7008086253369272,0.12,0.691,0.0028097065456088055
CRISPH222P_PreISO011,#10 (Mono - Tx Red),0.781,0.901,0.007947122128510679,0.22999999999999987,0.32999999999999996,0.6969696969696967,0.12,1.111,0.002935848237919921
CRISPH222P_PreISO011,#10 (Mono - Tx Red),1.201,1.351,0.008522183458501248,0.27,0.3599999999999999,0.7500000000000003,0.1499999999999999,1.561,0.002989437335840457
CRISPH222P_PreISO011,#10 (Mono - Tx Red),1.691,1.781,0.00838941304427269,0.23099999999999987,0.33099999999999974,0.6978851963746225,0.08999999999999986,2.022,0.0024327151673963054
CRISPH222P_PreISO011,#10 (Mono - Tx Red),2.132,2.262,0.00898660137542598,0.27,0.33999999999999986,0.7941176470588239,0.1299999999999999,2.472,0.002803057502504403
CRISPH222P_PreISO011,#10 (Mono - Tx Red),2.592,2.732,0.00873311558166693,0.27,0.33999999999999986,0.7941176470588239,0.14000000000000012,2.932,0.0027989184116823176
CRISPH222P_PreISO011,#10 (Mono - Tx Red),3.513,3.673,0.009680626853323658,0.27,0.3799999999999999,0.7105263157894739,0.16000000000000014,3.893,0.002684895891926961
CRISPH222P_PreISO011,#10 (Mono - Tx Red),3.983,4.113,0.008345267510216886,0.27,0.3500000000000001,0.7714285714285712,0.13000000000000034,4.333,0.0026661169489380324
CRISPH222P_PreISO011,#10 (Mono - Tx Red),4.443,4.563,0.008414244454276057,0.25100000000000033,0.4010000000000007,0.6259351620947629,0.1200000000000001,4.844,0.002573695982867643
CRISPH222P_PreISO011,#10 (Mono - Tx Red),4.914,5.024,0.008368593003327353,0.27000000000000046,0.3600000000000003,0.7500000000000007,0.11000000000000032,5.274,0.0032186043210392866
CRISPH222P_PreISO011,#10 (Mono - Tx Red),5.404,5.524,0.009149753840667359,0.23000000000000043,0.2999999999999998,0.7666666666666685,0.1200000000000001,5.704,0.0031490332564839867
CRISPH222P_PreISO011,#10 (Mono - Tx Red),5.865,5.965,0.00820509146677812,0.25,0.2999999999999998,0.8333333333333338,0.09999999999999964,6.165,0.003193776129286786
CRISPH222P_PreISO011,#10 (Mono - Tx Red),6.295,6.425,0.00922475219814601,0.2400000000000002,0.40000000000000036,0.6,0.1299999999999999,6.695,0.0025718895612473437
CRISPH222P_PreISO011,#10 (Mono - Tx Red),7.195,7.296,0.00875570020393101,0.23099999999999987,0.37099999999999955,0.6226415094339627,0.10099999999999998,7.566,0.002948998803571214
CRISPH222P_PreISO011,#10 (Mono - Tx Red),7.686,7.776,0.009255062720153244,0.25,0.41999999999999993,0.5952380952380953,0.08999999999999986,8.106,0.002552130219439803
CRISPH222P_PreISO011,#10 (Mono - Tx Red),8.126,8.226,0.008737151189532461,0.2400000000000002,0.3500000000000014,0.6857142857142835,0.10000000000000142,8.476,0.003109208043953129
CRISPH222P_PreISO011,#10 (Mono - Tx Red),9.047,9.167,0.008589004675863276,0.2400000000000002,0.3200000000000003,0.75,0.11999999999999922,9.367,0.0032450962618760454
CRISPH222P_PreISO011,#10 (Mono - Tx Red),9.517,9.637,0.008218065182449781,0.28000000000000114,0.391,0.7161125319693123,0.120000000000001,9.908,0.0032507188837786966
CRISPH222P_PreISO010,#1 (Mono - Tx Red),0.09,0.21,0.008299248405399487,0.26,0.31999999999999995,0.8125000000000001,0.12,0.41,0.005783891089650896
CRISPH222P_PreISO010,#1 (Mono - Tx Red),0.57,0.641,0.008642361475474246,0.281,0.3610000000000001,0.7783933518005539,0.07100000000000006,0.931,0.00535995386941941
CRISPH222P_PreISO010,#1 (Mono - Tx Red),1.081,1.161,0.009258809671907803,0.21999999999999997,0.48,0.4583333333333333,0.08000000000000007,1.561,0.004901846361276699
CRISPH222P_PreISO010,#1 (Mono - Tx Red),2.542,2.612,0.00956612869648244,0.26000000000000023,0.33000000000000007,0.7878787878787884,0.07000000000000028,2.872,0.005416021934781334
CRISPH222P_PreISO010,#1 (Mono - Tx Red),3.022,3.102,0.008960195500728685,0.2400000000000002,0.391,0.6138107416879801,0.08000000000000007,3.413,0.0049971901550551374
CRISPH222P_PreISO010,#1 (Mono - Tx Red),3.493,3.603,0.010611174309142763,0.27,0.3400000000000003,0.7941176470588229,0.11000000000000032,3.833,0.005270959882974484
CRISPH222P_PreISO010,#1 (Mono - Tx Red),3.963,4.103,0.00883167935949323,0.2599999999999998,0.41000000000000014,0.6341463414634139,0.13999999999999968,4.373,0.005157163109941469
CRISPH222P_PreISO010,#1 (Mono - Tx Red),4.944,5.044,0.00853348860008618,0.25,0.34999999999999964,0.714285714285715,0.09999999999999964,5.294,0.005069755885367196
CRISPH222P_PreISO010,#1 (Mono - Tx Red),6.415,6.495,0.009067702048394178,0.2599999999999998,0.3099999999999996,0.8387096774193552,0.08000000000000007,6.725,0.005336245093533035
CRISPH222P_PreISO010,#1 (Mono - Tx Red),6.865,6.955,0.008283001455374956,0.2400000000000002,0.351,0.6837606837606844,0.08999999999999986,7.216,0.005097532629899928
CRISPH222P_PreISO010,#1 (Mono - Tx Red),7.336,7.416,0.008206511135041663,0.27999999999999936,0.33000000000000007,0.8484848484848464,0.08000000000000007,7.666,0.005156896959781966
CRISPH222P_PreISO010,#1 (Mono - Tx Red),8.306,8.386,0.008671072334237848,0.261000000000001,0.35100000000000087,0.7435897435897446,0.08000000000000007,8.657,0.005296419249485112
